CODPRO;NOMEPRO;DESCPROCORTAM;ESTPROCORTAM;PRCOMPRAPRO;PRVENDAPRO;DTCADPRO;;;
106.058;BOTA FEM DE COURO LONGA DET FIVELA ALBANESE;MARROM - 37;1;200,61;489,01;03.05.2017;; R$ 200,61 ;489,01
106.058;BOTA FEM DE COURO LONGA DET FIVELA ALBANESE;MARROM - 38;2;200,61;489,01;03.05.2017;; R$ 401,22 ;978,02
106.058;BOTA FEM DE COURO LONGA DET FIVELA ALBANESE;MARROM - 39;1;200,61;489,01;03.05.2017;; R$ 200,61 ;489,01
106.061;BOTA FEM DE COURO CANO CURTO ALBANESE;MARROM - 36;1;165,51;398,99;03.05.2017;; R$ 165,51 ;398,99
106.061;BOTA FEM DE COURO CANO CURTO ALBANESE;MARROM - 37;3;165,51;398,99;03.05.2017;; R$ 496,53 ;1196,97
106.059;BOTA FEM DE COURO  CANO CURTO ZIPERS ALBANESE;PRETO - 36;1;193,41;469;03.05.2017;; R$ 193,41 ;469
106.059;BOTA FEM DE COURO  CANO CURTO ZIPERS ALBANESE;PRETO - 37;2;193,41;469;03.05.2017;; R$ 386,82 ;938
106.059;BOTA FEM DE COURO  CANO CURTO ZIPERS ALBANESE;PRETO - 39;1;193,41;469;03.05.2017;; R$ 193,41 ;469
106.061;BOTA FEM DE COURO CANO CURTO ALBANESE;MARROM - 38;2;165,51;398,99;03.05.2017;; R$ 331,02 ;797,98
106.061;BOTA FEM DE COURO CANO CURTO ALBANESE;MARROM - 39;1;165,51;398,99;03.05.2017;; R$ 165,51 ;398,99
106.061;BOTA FEM DE COURO CANO CURTO ALBANESE;PRETO - 35;1;165,51;398,99;03.05.2017;; R$ 165,51 ;398,99
106.061;BOTA FEM DE COURO CANO CURTO ALBANESE;PRETO - 36;1;165,51;398,99;03.05.2017;; R$ 165,51 ;398,99
106.060;BOTA FEM DE COURO CANO CURTO DET FIVELA ALBANESE;CAFE - 34;1;177,21;429,01;03.05.2017;; R$ 177,21 ;429,01
106.060;BOTA FEM DE COURO CANO CURTO DET FIVELA ALBANESE;CAFE - 35;1;177,21;429,01;03.05.2017;; R$ 177,21 ;429,01
106.060;BOTA FEM DE COURO CANO CURTO DET FIVELA ALBANESE;CAFE - 36;2;177,21;429,01;03.05.2017;; R$ 354,42 ;858,02
106.060;BOTA FEM DE COURO CANO CURTO DET FIVELA ALBANESE;CAFE - 37;2;177,21;429,01;03.05.2017;; R$ 354,42 ;858,02
106.060;BOTA FEM DE COURO CANO CURTO DET FIVELA ALBANESE;CAFE - 38;1;177,21;429,01;03.05.2017;; R$ 177,21 ;429,01
106.061;BOTA FEM DE COURO CANO CURTO ALBANESE;PRETO - 38;2;165,51;398,99;03.05.2017;; R$ 331,02 ;797,98
106.061;BOTA FEM DE COURO CANO CURTO ALBANESE;PRETO - 39;1;165,51;398,99;03.05.2017;; R$ 165,51 ;398,99
106.063;BLUSA FEM ESTA REGATA TECIDO SILK MAS ANIMALE;PRETO - 36;1;117,27;279;03.05.2017;; R$ 117,27 ;279
106.066;BLUSA FEM M/L LOMGA DECOTE V MANGA MORCEGO PATRICIA AZZ;CREME - P;1;140,29;369;03.05.2017;; R$ 140,29 ;369
106.066;BLUSA FEM M/L LOMGA DECOTE V MANGA MORCEGO PATRICIA AZZ;CINZA - M;1;140,29;369;03.05.2017;; R$ 140,29 ;369
105.898;JAQUETA FEM M/L COURO SANFONA TRANSADA  LIZIANE RICHTER;CAMELO - 36;1;1.398,00;4.318,98;19.04.2017;; R$ 1.398,00 ;4318,98
106.072;CALCA FEM JEANS BIA INDIGO 0020108245 COLCCI;JEANS - 38;1;178,64;401,99;04.05.2017;; R$ 178,64 ;401,99
106.080;MACACAO FEM S/M LINHO BORDADO ANIMALE;MARINHO - 42;1;421,82;928;04.05.2017;; R$ 421,82 ;928
106.079;BLUSA FEM MG 3/4 CANELADO COLCCI;MARINHO - GG;1;55;141;04.05.2017;; R$ 55,00 ;141
106.077;FORRO SAIA FEM COLCCI;PRETO - P;1;24,77;56;04.05.2017;; R$ 24,77 ;56
106.077;FORRO SAIA FEM COLCCI;PRETO - PP;2;24,77;56;04.05.2017;; R$ 49,54 ;112
106.078;SHORTS FEM BORDADO PEDRAS COLCCI;PRETO - PP;1;504,17;1.119,01;04.05.2017;; R$ 504,17 ;1119,01
106.081;VESTIDO FEM ESTA M/C CURTO ANIMALE;MULTI CORES - 42;1;180,91;398;04.05.2017;; R$ 180,91 ;398
106.080;MACACAO FEM S/M LINHO BORDADO ANIMALE;MARINHO - 36;1;421,82;928;04.05.2017;; R$ 421,82 ;928
106.080;MACACAO FEM S/M LINHO BORDADO ANIMALE;MARINHO - 38;1;421,82;928;04.05.2017;; R$ 421,82 ;928
106.083;VESTIDO FEM MC CURTO CANELADO COLCCI;PRETO - M;1;69,1;156;04.05.2017;; R$ 69,10 ;156
106.084;BLAZER FEM ML BORDADO PEDRAS COLCCI;PRETO - P;1;504,17;1.119,01;04.05.2017;; R$ 504,17 ;1119,01
106.084;BLAZER FEM ML BORDADO PEDRAS COLCCI;PRETO - PP;1;504,17;1.119,01;04.05.2017;; R$ 504,17 ;1119,01
106.086;BLUSA FEM TRICO M/L CANELADA FININHO ATADA ANIMALE;OFF WHITE - P;3;208,18;458;04.05.2017;; R$ 624,54 ;1374
106.086;BLUSA FEM TRICO M/L CANELADA FININHO ATADA ANIMALE;OFF WHITE - M;2;208,18;458;04.05.2017;; R$ 416,36 ;916
106.086;BLUSA FEM TRICO M/L CANELADA FININHO ATADA ANIMALE;OFF WHITE - G;1;208,18;458;04.05.2017;; R$ 208,18 ;458
106.086;BLUSA FEM TRICO M/L CANELADA FININHO ATADA ANIMALE;PRETO - M;1;208,18;458;04.05.2017;; R$ 208,18 ;458
106.086;BLUSA FEM TRICO M/L CANELADA FININHO ATADA ANIMALE;PRETO - G;1;208,18;458;04.05.2017;; R$ 208,18 ;458
106.087;VESTIDO FEM ALCA LONGO RENDA KIM FABULOUS;DOURADO - 38;1;1.813,00;3.998,93;04.05.2017;; R$ 1.813,00 ;3998,93
106.088;VESTIDO FEM ML CURTO DET. BT CHIARA FABULOUS;OFF WHITE - 36;1;769;1.699,03;04.05.2017;; R$ 769,00 ;1699,03
106.089;MACACAO FEM FRENTE UN LONGO SWEET FABULOUS;VERMELHO - 36;1;549;1.209,01;04.05.2017;; R$ 549,00 ;1209,01
106.090;VESTIDO FEM M/L ESTA CEU DE CEREJA FARM;PRETO - M;1;144,5;319;04.05.2017;; R$ 144,50 ;319
106.090;VESTIDO FEM M/L ESTA CEU DE CEREJA FARM;PRETO - P;1;144,5;319;04.05.2017;; R$ 144,50 ;319
106.094;CALCA MASC FIVE POCKETS SLIM STRAIGHT CALVIN KLEIN;MARINHO - 38;1;108,64;239;04.05.2017;; R$ 108,64 ;239
105.330;BLUSA FEM MC CRUZ DECOTE FARM;VERMELHO - P;2;79,5;179;14.03.2017;; R$ 159,00 ;358
105.330;BLUSA FEM MC CRUZ DECOTE FARM;VERMELHO - G;1;79,5;179;14.03.2017;; R$ 79,50 ;179
106.094;CALCA MASC FIVE POCKETS SLIM STRAIGHT CALVIN KLEIN;MARINHO - 40;1;108,64;239;04.05.2017;; R$ 108,64 ;239
106.093;VESTIDO FEM ESTA MANGA CAIDA BRISA LEVE FARM;MULTI CORES - P;1;169,5;379;04.05.2017;; R$ 169,50 ;379
106.093;VESTIDO FEM ESTA MANGA CAIDA BRISA LEVE FARM;MULTI CORES - G;1;169,5;379;04.05.2017;; R$ 169,50 ;379
106.096;CAMISETA MASC MC EST. LOGO LIKE CALVIN KLEIN;CINZA - P;1;63,18;139;04.05.2017;; R$ 63,18 ;139
106.096;CAMISETA MASC MC EST. LOGO LIKE CALVIN KLEIN;CINZA - GG;1;63,18;139;04.05.2017;; R$ 63,18 ;139
106.097;CAMISETA MASC MC ESTAMPADA CALVIN KLEIN;ROSE - GG;1;63,18;139;04.05.2017;; R$ 63,18 ;139
105.945;VESTIDO FEM ESTA OMBRO CAIDO MIDI PATBO;ROSE - 42;1;864;1.909,01;24.04.2017;; R$ 864,00 ;1909,01
105.591;BLUSA FEM GOLA MARRY BORD CARMIM;VINHO - PP;1;118,74;312,5;30.03.2017;; R$ 118,74 ;312,5
105.591;BLUSA FEM GOLA MARRY BORD CARMIM;VINHO - P;1;118,74;312,5;30.03.2017;; R$ 118,74 ;312,5
106.102;VESTIDO FEM REGATA DET LATERAL EMANUELLE CARMIM;PRETO - PP;1;522,5;1.319,99;05.05.2017;; R$ 522,50 ;1319,99
105.893;VESTIDO FEM M/L RENDA BORDADO PEDRAS PATBO;PRETO - 36;1;1.131,81;2.499,04;17.04.2017;; R$ 1.131,81 ;2499,04
105.088;BLAZER FEM ML NOBU CASHEMERE CARMIM;VINHO - P;1;361;950,01;08.03.2017;; R$ 361,00 ;950,01
106.102;VESTIDO FEM REGATA DET LATERAL EMANUELLE CARMIM;PRETO - EPP;1;522,5;1.319,99;05.05.2017;; R$ 522,50 ;1319,99
106.102;VESTIDO FEM REGATA DET LATERAL EMANUELLE CARMIM;PRETO - P;1;522,5;1.319,99;05.05.2017;; R$ 522,50 ;1319,99
106.103;BLAZER FEM M/L BORDADO CURTO CARMIM;PRETO - M;1;370,5;975,01;05.05.2017;; R$ 370,50 ;975,01
106.103;BLAZER FEM M/L BORDADO CURTO CARMIM;PRETO - P;1;370,5;975,01;05.05.2017;; R$ 370,50 ;975,01
106.103;BLAZER FEM M/L BORDADO CURTO CARMIM;PRETO - PP;2;370,5;975,01;05.05.2017;; R$ 741,00 ;1950,02
106.104;CASACO FEM M/L CURTO DET MANGAS CARMIM;BEGE - P;1;494;1.300,01;05.05.2017;; R$ 494,00 ;1300,01
106.104;CASACO FEM M/L CURTO DET MANGAS CARMIM;BEGE - PP;1;494;1.300,01;05.05.2017;; R$ 494,00 ;1300,01
106.104;CASACO FEM M/L CURTO DET MANGAS CARMIM;CEREJA - M;1;494;1.300,01;05.05.2017;; R$ 494,00 ;1300,01
106.104;CASACO FEM M/L CURTO DET MANGAS CARMIM;CEREJA - P;1;494;1.300,01;05.05.2017;; R$ 494,00 ;1300,01
106.104;CASACO FEM M/L CURTO DET MANGAS CARMIM;CEREJA - PP;1;494;1.300,01;05.05.2017;; R$ 494,00 ;1300,01
106.105;COLETE FEM BORDADO BOLSO JEANS CARMIM;PRETO - EPP;1;332,5;875,01;05.05.2017;; R$ 332,50 ;875,01
106.105;COLETE FEM BORDADO BOLSO JEANS CARMIM;PRETO - PP;1;332,5;875,01;05.05.2017;; R$ 332,50 ;875,01
106.105;COLETE FEM BORDADO BOLSO JEANS CARMIM;PRETO - P;1;332,5;875,01;05.05.2017;; R$ 332,50 ;875,01
106.107;VESTIDO FEM COURO REGATA BORDADO CARMIM;PRETO - EPP;1;997,5;2.519,98;05.05.2017;; R$ 997,50 ;2519,98
106.107;VESTIDO FEM COURO REGATA BORDADO CARMIM;PRETO - G;1;997,5;2.519,98;05.05.2017;; R$ 997,50 ;2519,98
106.107;VESTIDO FEM COURO REGATA BORDADO CARMIM;PRETO - M;1;997,5;2.519,98;05.05.2017;; R$ 997,50 ;2519,98
106.106;BLAZER FEM M/L BORDADO FLORES CARMIM;OFF WHITE - M;1;703;1.770,01;05.05.2017;; R$ 703,00 ;1770,01
106.106;BLAZER FEM M/L BORDADO FLORES CARMIM;OFF WHITE - P;2;703;1.770,01;05.05.2017;; R$ 1.406,00 ;3540,02
106.106;BLAZER FEM M/L BORDADO FLORES CARMIM;OFF WHITE - PP;1;703;1.770,01;05.05.2017;; R$ 703,00 ;1770,01
106.107;VESTIDO FEM COURO REGATA BORDADO CARMIM;PRETO - P;1;997,5;2.519,98;05.05.2017;; R$ 997,50 ;2519,98
105.963;VESTIDO FEM REGATA DE COURO LIA DECOTE V CARMIM;PRETO - EPP;1;836;2.100,03;25.04.2017;; R$ 836,00 ;2100,03
105.963;VESTIDO FEM REGATA DE COURO LIA DECOTE V CARMIM;CANELA - EPP;1;836;2.100,03;25.04.2017;; R$ 836,00 ;2100,03
106.106;BLAZER FEM M/L BORDADO FLORES CARMIM;OFF WHITE - EPP;1;703;1.770,01;05.05.2017;; R$ 703,00 ;1770,01
106.107;VESTIDO FEM COURO REGATA BORDADO CARMIM;PRETO - PP;1;997,5;2.519,98;05.05.2017;; R$ 997,50 ;2519,98
106.109;BLUSA MOLETOM FEM ESTAMPADO M/L COLCCI;VERDE - PP;1;69;170;05.05.2017;; R$ 69,00 ;170
106.114;JAQUETA MASC M/L MALHA ZIPERS BOLSO VR;MARINHO - M;1;425,35;939;05.05.2017;; R$ 425,35 ;939
106.115;CAMISA MASC M/L URBAN SLIM FIT FT VR;CHUMBO - 2;1;175,82;389;05.05.2017;; R$ 175,82 ;389
106.115;CAMISA MASC M/L URBAN SLIM FIT FT VR;CHUMBO - 5;1;175,82;389;05.05.2017;; R$ 175,82 ;389
106.115;CAMISA MASC M/L URBAN SLIM FIT FT VR;CHUMBO - 4;1;175,82;389;05.05.2017;; R$ 175,82 ;389
106.116;CAMISA MASC ISTA URBAN FIT SLIM FIT VR;AZUL PETROLEO - 3;1;166,31;369;05.05.2017;; R$ 166,31 ;369
106.118;CAMISA MASC M/L ESTA URBAN LISA VR;MARINHO - 2;2;140,18;309;05.05.2017;; R$ 280,36 ;618
106.117;CAMISA MAS M/L ESTA URBAN FIT SLIM FIT VR;CHUMBO - 5;1;166,31;369;05.05.2017;; R$ 166,31 ;369
106.121;CAMISA MASC M/L ESTA DENIN FT MAQUINETADA VR;ROSA - M;1;140,18;309;06.05.2017;; R$ 140,18 ;309
106.121;CAMISA MASC M/L ESTA DENIN FT MAQUINETADA VR;ROSA - G;1;140,18;309;06.05.2017;; R$ 140,18 ;309
106.121;CAMISA MASC M/L ESTA DENIN FT MAQUINETADA VR;ROSA - GG;1;140,18;309;06.05.2017;; R$ 140,18 ;309
106.122;CAMISA MASC M/L XADREZ MELANGE VR;CHUMBO - G;1;159,18;359;06.05.2017;; R$ 159,18 ;359
106.118;CAMISA MASC M/L ESTA URBAN LISA VR;MARINHO - 5;1;140,18;309;05.05.2017;; R$ 140,18 ;309
106.122;CAMISA MASC M/L XADREZ MELANGE VR;CHUMBO - GG;1;159,18;359;06.05.2017;; R$ 159,18 ;359
106.123;CAMISA MASC M/L  CLASS FT VR;AZUL BEBE - 39;1;140,18;309;06.05.2017;; R$ 140,18 ;309
106.122;CAMISA MASC M/L XADREZ MELANGE VR;CHUMBO - P;1;159,18;359;06.05.2017;; R$ 159,18 ;359
106.119;CAMISA MASC M/L ESTA URBAN FIT VR;VINHO - 2;1;166,31;369;05.05.2017;; R$ 166,31 ;369
106.123;CAMISA MASC M/L  CLASS FT VR;AZUL BEBE - 40;1;140,18;309;06.05.2017;; R$ 140,18 ;309
106.120;CAMISA MASC M/L ESTA URBAN LISA VR;AZUL CLARO - 2;1;140,18;309;05.05.2017;; R$ 140,18 ;309
106.120;CAMISA MASC M/L ESTA URBAN LISA VR;AZUL CLARO - 5;1;140,18;309;05.05.2017;; R$ 140,18 ;309
106.124;CAMISA MASC ESTA M/L URBAN SLIN FT VR;MARINHO - 3;1;159,18;359;06.05.2017;; R$ 159,18 ;359
106.124;CAMISA MASC ESTA M/L URBAN SLIN FT VR;MARINHO - 5;1;159,18;359;06.05.2017;; R$ 159,18 ;359
106.126;CAMISA MASC M/L BORDADA URBAN FIT VR;AZUL - 2;2;158,04;349;06.05.2017;; R$ 316,08 ;698
106.125;CAMISA MASC M/L XADREZ DENIN FT VR;VINHO - P;1;140,18;309;06.05.2017;; R$ 140,18 ;309
106.125;CAMISA MASC M/L XADREZ DENIN FT VR;VINHO - M;1;140,18;309;06.05.2017;; R$ 140,18 ;309
106.125;CAMISA MASC M/L XADREZ DENIN FT VR;VINHO - GG;1;140,18;309;06.05.2017;; R$ 140,18 ;309
106.127;CAMISA MASC M/L DENIN MELANGEE VR;CHUMBO - P;1;166,33;369;06.05.2017;; R$ 166,33 ;369
106.127;CAMISA MASC M/L DENIN MELANGEE VR;CHUMBO - G;1;166,33;369;06.05.2017;; R$ 166,33 ;369
106.127;CAMISA MASC M/L DENIN MELANGEE VR;CHUMBO - GG;1;166,33;369;06.05.2017;; R$ 166,33 ;369
106.126;CAMISA MASC M/L BORDADA URBAN FIT VR;AZUL - 5;1;158,04;349;06.05.2017;; R$ 158,04 ;349
106.128;CAMISA MASC M/L SOCIAL LISA VR;AZUL BEBE - 41;1;158,04;349;06.05.2017;; R$ 158,04 ;349
105.163;BLUSA FEM M/L SOFT SUEDE CHEMISE RECORTES ELLUS;PRETO - 36;2;239,38;529;09.03.2017;; R$ 478,76 ;1058
105.163;BLUSA FEM M/L SOFT SUEDE CHEMISE RECORTES ELLUS;PRETO - 38;1;239,38;529;09.03.2017;; R$ 239,38 ;529
105.163;BLUSA FEM M/L SOFT SUEDE CHEMISE RECORTES ELLUS;PRETO - 42;1;239,38;529;09.03.2017;; R$ 239,38 ;529
104.601;CAMISA MASC ML TRICOLINE LYCRA SLIM ITALIAN ELLUS;CHUMBO - P;1;125,33;279;07.02.2017;; R$ 125,33 ;279
104.601;CAMISA MASC ML TRICOLINE LYCRA SLIM ITALIAN ELLUS;CHUMBO - G;1;125,33;279;07.02.2017;; R$ 125,33 ;279
106.131;BLUSA FEM ESTA M/C  RETILINEA RIVER MAS ANIMALE;MULTI CORES - 36;1;103,64;249;08.05.2017;; R$ 103,64 ;249
106.131;BLUSA FEM ESTA M/C  RETILINEA RIVER MAS ANIMALE;MULTI CORES - 38;1;103,64;249;08.05.2017;; R$ 103,64 ;249
106.134;BLUSA BATA FEM ESTA OMBRO AINKA FARM;MULTI CORES - P;1;124,5;279;08.05.2017;; R$ 124,50 ;279
106.134;BLUSA BATA FEM ESTA OMBRO AINKA FARM;MULTI CORES - M;1;124,5;279;08.05.2017;; R$ 124,50 ;279
106.134;BLUSA BATA FEM ESTA OMBRO AINKA FARM;MULTI CORES - G;1;124,5;279;08.05.2017;; R$ 124,50 ;279
106.136;BLUSA BATA FEM ESTA M/L CORAL RESPIRO FARM;PRETO - G;1;129,5;289,01;08.05.2017;; R$ 129,50 ;289,01
106.140;CALCA FEM FLARE SUEDE BORDA MAS ANIMALE;CAMELO - P;2;226,36;529;08.05.2017;; R$ 452,72 ;1058
106.140;CALCA FEM FLARE SUEDE BORDA MAS ANIMALE;CAMELO - M;2;226,36;529;08.05.2017;; R$ 452,72 ;1058
106.138;BLUSA FEM M/L CANELADA DECOT/V CANELADA  ANIMALE;BEGE - G;1;80,91;178;08.05.2017;; R$ 80,91 ;178
105.681;CAMISA FEM TRANSPASSADA M/L  EST POA MAS ANIMALE;PRETO/BRANCO - 36;2;149,09;349;06.04.2017;; R$ 298,18 ;698
105.681;CAMISA FEM TRANSPASSADA M/L  EST POA MAS ANIMALE;PRETO/BRANCO - 38;1;149,09;349;06.04.2017;; R$ 149,09 ;349
105.005;BLUSA FEM REGATA MULLET MALHA MAS ANIMALE;PRETO - P;2;58,18;139;03.03.2017;; R$ 116,36 ;278
106.141;VESTIDO FEM ESTA M/L CURTO DET PELO MAS ANIMALE;PRETO - M;1;271,82;628,99;08.05.2017;; R$ 271,82 ;628,99
106.142;BODY FEM CANELADO TRANCETE M/L MAS ANIMALE;PRETO - M;1;108,18;249;08.05.2017;; R$ 108,18 ;249
106.143;MACACAO FEM ESTA FENDA CENOURA MAS ANIMALE;PRETO/BRANCO - 36;1;199,09;459;08.05.2017;; R$ 199,09 ;459
106.143;MACACAO FEM ESTA FENDA CENOURA MAS ANIMALE;PRETO/BRANCO - 38;1;199,09;459;08.05.2017;; R$ 199,09 ;459
106.143;MACACAO FEM ESTA FENDA CENOURA MAS ANIMALE;PRETO/BRANCO - 40;1;199,09;459;08.05.2017;; R$ 199,09 ;459
106.143;MACACAO FEM ESTA FENDA CENOURA MAS ANIMALE;PRETO/BRANCO - 42;1;199,09;459;08.05.2017;; R$ 199,09 ;459
105.922;VESTIDO FEM ML CURTO EST. CONTRASTE ZIG ZAG MAS ANIMALE;MULTI CORES - 36;1;180,91;419,01;20.04.2017;; R$ 180,91 ;419,01
105.922;VESTIDO FEM ML CURTO EST. CONTRASTE ZIG ZAG MAS ANIMALE;MULTI CORES - 40;1;180,91;419,01;20.04.2017;; R$ 180,91 ;419,01
106.144;BLUSA FEM ESTA M/L LISTRA MAS ANIMALE;MULTI CORES - P;1;90;209;08.05.2017;; R$ 90,00 ;209
106.144;BLUSA FEM ESTA M/L LISTRA MAS ANIMALE;MULTI CORES - M;1;90;209;08.05.2017;; R$ 90,00 ;209
106.146;BLUSA FEM M/L ESTA POA MULET MAS ANIMALE;OFF WHITE ESTAMPADO - 36;2;135,45;319;08.05.2017;; R$ 270,90 ;638
106.146;BLUSA FEM M/L ESTA POA MULET MAS ANIMALE;OFF WHITE ESTAMPADO - 38;1;135,45;319;08.05.2017;; R$ 135,45 ;319
106.147;VESTIDO FEM MIDI VALERIA M/C UNICA APARTAMENTO 03;PRETO - 36;1;727,27;1.609,01;09.05.2017;; R$ 727,27 ;1609,01
106.147;VESTIDO FEM MIDI VALERIA M/C UNICA APARTAMENTO 03;PRETO - 38;1;727,27;1.609,01;09.05.2017;; R$ 727,27 ;1609,01
106.021;CALCA FEM BOYISH LIGTH DESTROYED MAS ANIMALE;JEANS - 34;1;121,82;289,01;29.04.2017;; R$ 121,82 ;289,01
106.021;CALCA FEM BOYISH LIGTH DESTROYED MAS ANIMALE;JEANS - 40;1;121,82;289,01;29.04.2017;; R$ 121,82 ;289,01
106.147;VESTIDO FEM MIDI VALERIA M/C UNICA APARTAMENTO 03;PRETO - 42;1;727,27;1.609,01;09.05.2017;; R$ 727,27 ;1609,01
106.147;VESTIDO FEM MIDI VALERIA M/C UNICA APARTAMENTO 03;PRETO - 44;1;727,27;1.609,01;09.05.2017;; R$ 727,27 ;1609,01
106.147;VESTIDO FEM MIDI VALERIA M/C UNICA APARTAMENTO 03;PRETO - 46;1;727,27;1.609,01;09.05.2017;; R$ 727,27 ;1609,01
106.147;VESTIDO FEM MIDI VALERIA M/C UNICA APARTAMENTO 03;PRETO - 48;1;727,27;1.609,01;09.05.2017;; R$ 727,27 ;1609,01
105.896;SAIA FEM SARJA FENDA MIDI PUIDOS MAS ANIMANE;BRANCO - 34;1;90;209;18.04.2017;; R$ 90,00 ;209
105.896;SAIA FEM SARJA FENDA MIDI PUIDOS MAS ANIMANE;BRANCO - 36;1;90;209;18.04.2017;; R$ 90,00 ;209
105.896;SAIA FEM SARJA FENDA MIDI PUIDOS MAS ANIMANE;BRANCO - 38;1;90;209;18.04.2017;; R$ 90,00 ;209
105.896;SAIA FEM SARJA FENDA MIDI PUIDOS MAS ANIMANE;BRANCO - 40;1;90;209;18.04.2017;; R$ 90,00 ;209
105.940;BLUSA FEM RENDA DECOTE MANGA SINO LITT;AZUL BEBE - 36;1;169;409;24.04.2017;; R$ 169,00 ;409
106.148;CAMISA MASC ML NG BD PTO CORRENTE VT ARAMIS;AZUL - M;1;147;329;09.05.2017;; R$ 147,00 ;329
106.151;VESTIDO FEM BABADINHO CURTO REGATA LITT;BRANCO - 38;1;290;698,99;09.05.2017;; R$ 290,00 ;698,99
106.151;VESTIDO FEM BABADINHO CURTO REGATA LITT;PRETO - 38;1;290;698,99;09.05.2017;; R$ 290,00 ;698,99
106.151;VESTIDO FEM BABADINHO CURTO REGATA LITT;PRETO - 40;1;290;698,99;09.05.2017;; R$ 290,00 ;698,99
106.153;VESTIDO FEM MC CURTO CHARLOTTE JOHN JOHN;PRETO - PP;2;180,91;398;09.05.2017;; R$ 361,82 ;796
106.152;VESTIDO FEM CURTO BOLSOS  CJ CINTO;AZUL BEBE - 40;1;276;669;09.05.2017;; R$ 276,00 ;669
106.152;VESTIDO FEM CURTO BOLSOS  CJ CINTO;PRETO - 40;1;276;669;09.05.2017;; R$ 276,00 ;669
106.152;VESTIDO FEM CURTO BOLSOS  CJ CINTO;PRETO - 38;1;276;669;09.05.2017;; R$ 276,00 ;669
106.155;BLUSA FEM ML DET. TACHAS COLCCI;VERDE MILITAR - M;1;109,54;247;09.05.2017;; R$ 109,54 ;247
106.158;CAMISETA MASC M/C POLO SPORT FAIXA VR;PRETO/MARINHO - P;2;80,48;179;09.05.2017;; R$ 160,96 ;358
106.157;CAMISETA MASC DET GOLA TRICOT M/L VR;CINZA - P;1;185,24;408,99;09.05.2017;; R$ 185,24 ;408,99
106.161;VESTIDO FEM REGATA FLEECE EST. ELETRIC LOVE ELLUS;PRETO - PP;1;105,49;239;09.05.2017;; R$ 105,49 ;239
106.161;VESTIDO FEM REGATA FLEECE EST. ELETRIC LOVE ELLUS;PRETO - P;1;105,49;239;09.05.2017;; R$ 105,49 ;239
106.168;CALCA FEM SUED CJ C/ CINTO SUP. SK. ET. COURO ELLUS;PRETO - 34;1;242,77;539;09.05.2017;; R$ 242,77 ;539
106.159;SHORTS FEM SUED CJ C/ CINTO ET. COURO ELLUS;CAMELO - 34;1;189,97;419;09.05.2017;; R$ 189,97 ;419
106.164;CAMISETA MASC MC VINTAGE CLASSIC ELLUS;AZUL - P;1;47,41;109;09.05.2017;; R$ 47,41 ;109
106.164;CAMISETA MASC MC VINTAGE CLASSIC ELLUS;VINHO - GG;1;47,41;109;09.05.2017;; R$ 47,41 ;109
106.163;BLUSA FEM CROPPED ML FLEECE EST. DANGER SATIN ELLUS;PRETO - PP;1;105,49;239;09.05.2017;; R$ 105,49 ;239
106.168;CALCA FEM SUED CJ C/ CINTO SUP. SK. ET. COURO ELLUS;PRETO - 36;2;242,77;539;09.05.2017;; R$ 485,54 ;1078
106.168;CALCA FEM SUED CJ C/ CINTO SUP. SK. ET. COURO ELLUS;PRETO - 42;1;242,77;539;09.05.2017;; R$ 242,77 ;539
106.167;CALCA MASC SPROUT LY STR. FILIGRANA ELLUS;JEANS ESC - 40;1;126,61;279;09.05.2017;; R$ 126,61 ;279
106.166;BLUSA FEM TRICOT DECOT V M/L INTUICAO;PINK - PP;1;84,9;209;09.05.2017;; R$ 84,90 ;209
106.168;CALCA FEM SUED CJ C/ CINTO SUP. SK. ET. COURO ELLUS;MARROM - 34;1;242,77;539;09.05.2017;; R$ 242,77 ;539
106.168;CALCA FEM SUED CJ C/ CINTO SUP. SK. ET. COURO ELLUS;MARROM - 36;2;242,77;539;09.05.2017;; R$ 485,54 ;1078
106.166;BLUSA FEM TRICOT DECOT V M/L INTUICAO;AREIA - P;1;84,9;209;09.05.2017;; R$ 84,90 ;209
106.166;BLUSA FEM TRICOT DECOT V M/L INTUICAO;AREIA - M;1;84,9;209;09.05.2017;; R$ 84,90 ;209
106.166;BLUSA FEM TRICOT DECOT V M/L INTUICAO;AREIA - G;1;84,9;209;09.05.2017;; R$ 84,90 ;209
106.166;BLUSA FEM TRICOT DECOT V M/L INTUICAO;PRETO - M;1;84,9;209;09.05.2017;; R$ 84,90 ;209
106.166;BLUSA FEM TRICOT DECOT V M/L INTUICAO;PRETO - G;1;84,9;209;09.05.2017;; R$ 84,90 ;209
106.166;BLUSA FEM TRICOT DECOT V M/L INTUICAO;PINK - M;1;84,9;209;09.05.2017;; R$ 84,90 ;209
105.961;BLUSA TOP FEM OMBRO CAIDO MARCELA ANIMALE;BRANCO - 36;2;158,18;348;25.04.2017;; R$ 316,36 ;696
105.961;BLUSA TOP FEM OMBRO CAIDO MARCELA ANIMALE;BRANCO - 38;1;158,18;348;25.04.2017;; R$ 158,18 ;348
106.098;CAMISETA MASC MC ESTAMPADA CALVIN KLEIN;GRAFITE - P;1;99,55;219;04.05.2017;; R$ 99,55 ;219
106.169;CAMISETA MASC M/L ESTA LOGO GOLA RETILINIA CALVIN KLEIN;MARINHO - P;1;81,36;179;10.05.2017;; R$ 81,36 ;179
