CODPRO;NOMEPRO;DESCPROCORTAM;ESTPROCORTAM;PRCOMPRAPRO;PRVENDAPRO;DTCADPRO;;;
109.925;BOLSA FEM NEUTRAL MEDIA COUROS SCHUTZ;PRETO - UN;1;441,86;950;20.07.2018;; R$ 441,86 ;950
104.550;CALCA FEM MALHA MESCLA PATBO;CINZA - 44;1;545,45;1.208,99;26.01.2017;; R$ 545,45 ;1208,99
105.372;VESTIDO FEM C/M GOLA ALTA PATBO;ROSE - 40;1;540,9;1.199,01;17.03.2017;; R$ 540,90 ;1199,01
111.127;SAIA FEM JEANS COLOR BORD. TIGER REVOLUTION ELLUS;MUSGO - 34;1;179,9;439;05.09.2018;; R$ 179,90 ;439
106.365;COLAR FEM OURO LONGO DET CORACOES DONAIRE;GRAFITE - UN;1;98;219;20.06.2017;; R$ 98,00 ;219
104.549;BLUSA FEM CROPPED ML/MC PATBO;PRATA - 38;1;427,27;949,01;26.01.2017;; R$ 427,27 ;949,01
104.550;CALCA FEM MALHA MESCLA PATBO;CINZA - 40;2;545,45;1.208,99;26.01.2017;; R$ 1.090,90 ;2417,98
110.473;CALCA FEM JEANS SAPPHIRE ELASTIC SKINNY 2ND FLOOR;JEANS - 36;1;139,9;339,01;09.08.2018;; R$ 139,90 ;339,01
114.860;SAPATENIS MASC COURO C/TECIDO SOLADO BORRACHA DEMOCRATA;CINZA - 38;1;119,04;289,01;02.07.2019;; R$ 119,04 ;289,01
106.909;BOLSA FEM LOW GRANDE SINTETICOS AREZZO;AZUL - UN;1;129,95;289;04.10.2017;; R$ 129,95 ;289
104.517;CUECA MASC HUGO BOSS;PRETO - GG;21;6,33;19;02.01.2017;; R$ 132,93 ;399
108.873;VESTIDO FEM MIDI ESTAMPADO LISTRAS  CJ APARTAMENTO 03;PRETO - 38;1;917;2.209,00;04.04.2018;; R$ 917,00 ;2209
105.014;BLUSA FEM ML PALA RENDA STREND;OFF WHITE - PP;1;179,9;438,99;04.03.2017;; R$ 179,90 ;438,99
109.272;CALCA FEM ZIPER BARRA MAGNOLIA SPEZZATO;AREIA - 38;1;221;499;26.04.2018;; R$ 221,00 ;499
117.474;SAIA FEM MIDI PLISSADA LISTRA FINA BRANCO APARTAMENTO03;PRETO - 36;1;686;1.645,99;16.03.2020;; R$ 686,00 ;1645,99
106.335;CALCA FEM VELUDO VICTORIA  FLARE MAS ANIMALE;PRETO - 42;1;180,91;428,99;27.05.2017;; R$ 180,91 ;428,99
114.618;BLUSA FEM ML MOLETOM COM CAPUZ COLCCI;VERDE ESC - PP;1;129,1;290;16.05.2019;; R$ 129,10 ;290
114.798;VESTIDO FEM CURTO VELUDO ESTAMPADO COLCCI;XADREZ - PP;2;259,5;583;04.06.2019;; R$ 519,00 ;1166
114.798;VESTIDO FEM CURTO VELUDO ESTAMPADO COLCCI;XADREZ - P;1;259,5;583;04.06.2019;; R$ 259,50 ;583
114.798;VESTIDO FEM CURTO VELUDO ESTAMPADO COLCCI;XADREZ - M;1;259,5;583;04.06.2019;; R$ 259,50 ;583
114.673;CAMISETA MASC MC ESTAMPADA CAPACETE CALVIN KLEIN;VERDE - P;1;81,36;179;21.05.2019;; R$ 81,36 ;179
114.304;BOTA FEM CANO CURTO  SALTO BAICO COURO AREZZO;PRETO - 34;1;189,95;418,99;17.04.2019;; R$ 189,95 ;418,99
114.475;CAMISETA MASC MC ESTAMPADO LOGO CALVIN KLEIN;PRETO - M;1;63,18;139;04.05.2019;; R$ 63,18 ;139
114.475;CAMISETA MASC MC ESTAMPADO LOGO CALVIN KLEIN;PRETO - P;1;63,18;139;04.05.2019;; R$ 63,18 ;139
114.000;CAMISETA MASC MC ESTAMPADA LOGO CALVIN KLEIN;BRANCO - G;1;58,64;129;27.03.2019;; R$ 58,64 ;129
108.390;CALCA FEM SARJA COLORS ALTA PUIDO COLCCI;JEANS - 34;1;142,13;320,01;07.03.2018;; R$ 142,13 ;320,01
104.784;CALCA FEM LY ALANA JEGGI CARMIM;JEANS ESC - 34;2;142,5;375;15.02.2017;; R$ 285,00 ;750
114.000;CAMISETA MASC MC ESTAMPADA LOGO CALVIN KLEIN;AZUL - M;1;58,64;129;27.03.2019;; R$ 58,64 ;129
114.799;CAMISETA MASC ESTAMPADA NO FEARS CALVIN KLEIN;BRANCO - GG;1;63,18;139;04.06.2019;; R$ 63,18 ;139
105.594;CALCA FEM JEANS KELLY DT ZIPER CARMIM;PRETO - 38;2;218,5;575;30.03.2017;; R$ 437,00 ;1150
104.530;VESTIDO FEM MC MIDI BABADO DREAM LITT;OFF WHITE - 38;1;398;958,98;25.01.2017;; R$ 398,00 ;958,98
105.229;BOLSA FEM MATELASS SATCHEL COLCCI;MARROM - UN;1;243,96;568,99;11.03.2017;; R$ 243,96 ;568,99
106.563;CAMISETA MASC MC ESTAMPADA CALVIN KLEIN;GOIABA - G;1;85,91;189;11.08.2017;; R$ 85,91 ;189
105.520;JAQUETA MASC ML ESTILO MELANGE VR;CHUMBO - G;1;425,35;939;27.03.2017;; R$ 425,35 ;939
114.800;CAMISETA MASC MC LATERAL LOGO CALVIN KLEIN;MARINHO - P;1;63,18;139;04.06.2019;; R$ 63,18 ;139
114.800;CAMISETA MASC MC LATERAL LOGO CALVIN KLEIN;BRANCO - GG;1;63,18;139;04.06.2019;; R$ 63,18 ;139
106.661;SAPATO FEM SCARPIN SALTO MEDIO VERNIZES SCHUTZ;PRETO - 34;1;139,54;300;30.08.2017;; R$ 139,54 ;300
